#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AB17,,,VCCINT,,,,,,,,1.0,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.0,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,,VCCINT,,,,,,,,1.0,,,,
AB22,,,GND,,,,,,,,,,,,
AB23,,,RSVD_0,,,,,,,,,,,,
AB24,,,GND,,,,,,,,,,,,
AB25,,IOBM,IO_L3P_21,UNUSED,,21,,,,,,,,,
AB26,,IOBS,IO_L3N_21,UNUSED,,21,,,,,,,,,
AB27,,IOBM,IO_L1P_21,UNUSED,,21,,,,,,,,,
AB28,,IOBM,IO_L5P_21,UNUSED,,21,,,,,,,,,
AB29,,,VCCO_13,,,13,,,,,any******,,,,
AB30,,IOBM,IO_L10P_CC_17,UNUSED,,17,,,,,,,,,
AB31,,IOBM,IO_L9P_CC_17,UNUSED,,17,,,,,,,,,
AB32,,IOBS,IO_L6N_SM3N_13,UNUSED,,13,,,,,,,,,
AB33,,IOBS,IO_L7N_SM2N_13,UNUSED,,13,,,,,,,,,
AB34,,,GND,,,,,,,,,,,,
AC2,,OPAD,MGTTXP1_114,UNUSED,,,,,,,,,,,
AC3,,,MGTAVTTTX_114,,,,,,,,,,,,
AC4,dram_a<13>,IOB,IO_L0P_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,NO,NONE,
AC5,dram_we_n,IOB,IO_L0N_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AC6,,,VCCO_18,,,18,,,,,1.80,,,,
AC7,dram_a<7>,IOB,IO_L3P_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AC8,dram_dq<48>,IOB,IO_L5P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AC9,dram_dq<45>,IOB,IO_L7N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AC10,dram_dq<34>,IOB,IO_L7P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AC11,,,GND,,,,,,,,,,,,
AC12,,,VCCAUX,,,,,,,,2.5,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,TMS_0,,,,,,,,,,,,
AC15,,,TDI_0,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.0,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.0,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.0,,,,
AC21,,,GND,,,,,,,,,,,,
AC22,,,M1_0,,,,,,,,,,,,
AC23,,,RSVD_0,,,,,,,,,,,,
AC24,,IOBS,IO_L17N_21,UNUSED,,21,,,,,,,,,
AC25,,IOBM,IO_L17P_21,UNUSED,,21,,,,,,,,,
AC26,,,GND,,,,,,,,,,,,
AC27,,IOBS,IO_L1N_21,UNUSED,,21,,,,,,,,,
AC28,adcmkid1_ADC_ext_in_p,IOB,IO_L4P_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AC29,,IOBS,IO_L13N_17,UNUSED,,17,,,,,,,,,
AC30,,IOBS,IO_L10N_CC_17,UNUSED,,17,,,,,,,,,
AC31,,,GND,,,,,,,,,,,,
AC32,,IOBM,IO_L6P_SM3P_13,UNUSED,,13,,,,,,,,,
AC33,,IOBM,IO_L7P_SM2P_13,UNUSED,,13,,,,,,,,,
AC34,,IOBM,IO_L5P_SM4P_13,UNUSED,,13,,,,,,,,,
AD2,,OPAD,MGTTXP0_118,UNUSED,,,,,,,,,,,
AD3,,,MGTAVTTTX_118,,,,,,,,,,,,
AD4,dram_cas_n,IOB,IO_L5P_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AD5,dram_ras_n,IOB,IO_L5N_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AD6,dram_a<10>,IOB,IO_L7P_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AD7,,IOBS,IO_L3N_18,UNUSED,,18,,,,,,,,,
AD8,,,GND,,,,,,,,,,,,
