#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Thu Jul 19 14:00:20 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vsx95t
#SPEED GRADE:      -1
#PACKAGE:          ff1136
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AG30,,IOBS,IO_L19N_17,UNUSED,,17,,,,,,,,,
AG31,adcmkid1_DI_n<1>,IOB,IO_L14N_VREF_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AG32,adcmkid1_DI_p<5>,IOB,IO_L14P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AG33,adcmkid1_DI_p<8>,IOB,IO_L12P_VRN_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AG34,,,GND,,,,,,,,,,,,
AH1,,IPAD,MGTRXP1_118,UNUSED,,,,,,,,,,,
AH2,,OPAD,MGTTXN1_118,UNUSED,,,,,,,,,,,
AH3,,,MGTAVCCPLL_118,,,,,,,,,,,,
AH4,,,GND,,,,,,,,,,,,
AH5,,IOBM,IO_L12P_VRN_18,UNUSED,,18,,,TERMINATION,,,,,,
AH6,,,GND,,,,,,,,,,,,
AH7,dram_a<14>,IOB,IO_L14P_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,NO,NONE,
AH8,dram_ck_n<2>,IOB,IO_L18N_22,OUTPUT,DIFF_SSTL18_II,22,,,,,,LOCATED,NO,NONE,
AH9,dram_dq<54>,IOB,IO_L17P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AH10,dram_dq<41>,IOB,IO_L17N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AH11,,,VCCO_22,,,22,,,,,1.80,,,,
AH12,epb_data<10>,IOB,IO_L1P_GC_D13_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH13,epb_data<15>,IOB,IO_L3N_GC_D8_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH14,epb_data<14>,IOB,IO_L3P_GC_D9_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH15,epb_addr<13>,IOB,IO_L5P_GC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AH16,,,GND,,,,,,,,,,,,
AH17,epb_addr<12>,IOB,IO_L7P_GC_VRN_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,YES,NONE,
AH18,epb_clk_in,IOB,IO_L9P_CC_GC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,NO,NONE,
AH19,epb_data<13>,IOB,IO_L2N_GC_D10_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH20,epb_data<12>,IOB,IO_L2P_GC_D11_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH21,,,VCCO_2,,,2,,,,,3.30,,,,
AH22,epb_data<9>,IOB,IO_L0N_GC_D14_4,BIDIR,LVCMOS33,4,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH23,dram_dq<28>,IOB,IO_L2P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AH24,dram_dq<20>,IOB,IO_L0P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AH25,adcmkid1_DQ_n<9>,IOB,IO_L12N_VRP_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH26,,,GND,,,,,,,,,,,,
AH27,adcmkid1_DQ_p<3>,IOB,IO_L11P_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AH28,adcmkid1_DI_n<7>,IOB,IO_L6N_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH29,,IOBM,IO_L19P_17,UNUSED,,17,,,,,,,,,
AH30,adcmkid1_DQ_n<1>,IOB,IO_L18N_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH31,,,VCCO_17,,,17,,,,,any******,,,,
AH32,adcmkid1_DI_n<5>,IOB,IO_L14N_VREF_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH33,adcmkid1_DI_n<8>,IOB,IO_L12N_VRP_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AH34,adcmkid1_DI_p<11>,IOB,IO_L10P_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AJ2,,OPAD,MGTTXP1_118,UNUSED,,,,,,,,,,,
AJ3,,,MGTAVTTTX_118,,,,,,,,,,,,
AJ4,,,MGTAVCC_122,,,,,,,,,,,,
AJ5,,,GND,,,,,,,,,,,,
AJ6,dram_a<0>,IOB,IO_L16N_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AJ7,dram_a<12>,IOB,IO_L16P_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AJ8,,,VCCO_22,,,22,,,,,1.80,,,,
AJ9,dram_dq<47>,IOB,IO_L15P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AJ10,dram_dq<52>,IOB,IO_L15N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AJ11,dram_dqs_n<4>,IOB,IO_L11N_CC_22,BIDIR,DIFF_SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AJ12,dram_dq<65>,IOB,IO_L1N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ13,,,GND,,,,,,,,,,,,
AJ14,dram_dq<26>,IOB,IO_L5P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ15,dram_dqs_n<8>,IOB,IO_L9N_CC_6,BIDIR,DIFF_SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ16,dram_dqs<8>,IOB,IO_L9P_CC_6,BIDIR,DIFF_SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ17,,IOBS,IO_L12N_VRP_6,UNUSED,,6,,,TERMINATION,,,,,,
AJ18,,,VCCO_6,,,6,,,,,1.80,,,,
AJ19,dram_dq<16>,IOB,IO_L15P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ20,dram_dqs_n<3>,IOB,IO_L8N_CC_6,BIDIR,DIFF_SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ21,dram_dqs<3>,IOB,IO_L8P_CC_6,BIDIR,DIFF_SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ22,dram_dq<19>,IOB,IO_L2N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ23,,,GND,,,,,,,,,,,,
AJ24,dram_dq<23>,IOB,IO_L0N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AJ25,adcmkid1_DQ_p<9>,IOB,IO_L12P_VRN_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AJ26,adcmkid1_DQ_n<3>,IOB,IO_L11N_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AJ27,adcmkid1_DQ_n<7>,IOB,IO_L8N_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AJ28,,,VCCO_21,,,21,,,,,any******,,,,
AJ29,adcmkid1_DQ_n<10>,IOB,IO_L9N_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AJ30,adcmkid1_DQ_p<1>,IOB,IO_L18P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,YES,DIFF_TERM,
AJ31,adcmkid1_DQ_p<2>,IOB,IO_L16P_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,YES,DIFF_TERM,
AJ32,,IOBM,IO_L15P_13,UNUSED,,13,,,,,,,,,
AJ33,,,GND,,,,,,,,,,,,
AJ34,adcmkid1_DI_n<11>,IOB,IO_L10N_CC_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK2,,OPAD,MGTTXP0_122,UNUSED,,,,,,,,,,,
AK3,,,MGTAVTTTX_122,,,,,,,,,,,,
AK4,,,GND,,,,,,,,,,,,
AK5,,,MGTAVCC_122,,,,,,,,,,,,
AK6,dram_a<8>,IOB,IO_L18N_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AK7,dram_a<9>,IOB,IO_L18P_18,OUTPUT,SSTL18_II,18,,,,,,LOCATED,YES,NONE,
AK8,dram_dq<50>,IOB,IO_L13P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AK9,dram_dq<55>,IOB,IO_L13N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AK10,,,GND,,,,,,,,,,,,
AK11,dram_dqs<4>,IOB,IO_L11P_CC_22,BIDIR,DIFF_SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AK12,dram_cke<1>,IOB,IO_L1P_6,OUTPUT,SSTL18_II,6,,,,,,LOCATED,NO,NONE,
AK13,dram_dq<27>,IOB,IO_L3N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AK14,dram_dm<4>,IOB,IO_L5N_6,OUTPUT,SSTL18_II,6,,,,,,LOCATED,YES,NONE,
AK15,,,VCCO_6,,,6,,,,,1.80,,,,
AK16,dram_ck<1>,IOB,IO_L10P_CC_6,OUTPUT,DIFF_SSTL18_II,6,,,,,,LOCATED,NO,NONE,
AK17,,IOBM,IO_L12P_VRN_6,UNUSED,,6,,,TERMINATION,,,,,,
AK18,dram_dq<30>,IOB,IO_L14P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AK19,dram_dq<17>,IOB,IO_L15N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AK20,,,GND,,,,,,,,,,,,
AK21,dram_dqs_n<2>,IOB,IO_L11N_CC_6,BIDIR,DIFF_SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AK22,dram_dq<18>,IOB,IO_L6N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AK23,dram_dm<2>,IOB,IO_L6P_6,OUTPUT,SSTL18_II,6,,,,,,LOCATED,YES,NONE,
AK24,dram_dq<21>,IOB,IO_L4P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AK25,,,VCCO_25,,,25,,,,,1.80,,,,
AK26,adcmkid1_DQ_p<7>,IOB,IO_L8P_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AK27,adcmkid1_DQ_n<5>,IOB,IO_L10N_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK28,adcmkid1_DQ_p<5>,IOB,IO_L10P_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AK29,adcmkid1_DQ_p<10>,IOB,IO_L9P_CC_21,INPUT,LVDS_25,21,,,,NONE,,LOCATED,YES,DIFF_TERM,
AK30,,,GND,,,,,,,,,,,,
AK31,adcmkid1_DQ_n<2>,IOB,IO_L16N_17,INPUT,LVDS_25,17,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK32,,IOBS,IO_L15N_13,UNUSED,,13,,,,,,,,,
AK33,adcmkid1_DQ_n<0>,IOB,IO_L13N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AK34,adcmkid1_DQ_p<0>,IOB,IO_L13P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AL1,,IPAD,MGTRXP0_122,UNUSED,,,,,,,,,,,
AL2,,OPAD,MGTTXN0_122,UNUSED,,,,,,,,,,,
AL3,,,MGTAVTTRX_122,,,,,,,,,,,,
AL4,,IPAD,MGTREFCLKN_122,UNUSED,,,,,,,,,,,
AL5,,IPAD,MGTREFCLKP_122,UNUSED,,,,,,,,,,,
AL6,,,GND,,,,,,,,,,,,
AL7,,IPAD,MGTREFCLKP_126,UNUSED,,,,,,,,,,,
AL8,,,MGTAVCC_126,,,,,,,,,,,,
AL9,,,GND,,,,,,,,,,,,
AL10,dram_dq<49>,IOB,IO_L8N_CC_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AL11,dram_cke<0>,IOB,IO_L8P_CC_22,OUTPUT,SSTL18_II,22,,,,,,LOCATED,YES,NONE,
AL12,,,VCCO_4,,,4,,,,,3.30,,,,
AL13,dram_dq<66>,IOB,IO_L3P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AL14,dram_dq<71>,IOB,IO_L7N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AL15,dram_dq<68>,IOB,IO_L7P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AL16,dram_ck_n<1>,IOB,IO_L10N_CC_6,OUTPUT,DIFF_SSTL18_II,6,,,,,,LOCATED,NO,NONE,
AL17,,,GND,,,,,,,,,,,,
AL18,,IOBS,IO_L14N_VREF_6,VREF Required,,6,,,,,0.90,,,,
AL19,dram_dq<24>,IOB,IO_L13P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AL20,dram_dq<22>,IOB,IO_L13N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AL21,dram_dqs<2>,IOB,IO_L11P_CC_6,BIDIR,DIFF_SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AL22,,,VCCO_25,,,25,,,,,1.80,,,,
AL23,,IOBS,IO_L4N_VREF_6,VREF Required,,6,,,,,0.90,,,,
AL24,,IOBS,IO_L11N_CC_25,UNUSED,,25,,,,,,,,,
AL25,,IOBM,IO_L11P_CC_25,UNUSED,,25,,,,,,,,,
AL26,dram_dqs_n<0>,IOB,IO_L9N_CC_25,BIDIR,DIFF_SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AL27,,,GND,,,,,,,,,,,,
AL28,,IOBS,IO_L4N_VREF_25,VREF Required,,25,,,,,0.90,,,,
AL29,dram_dq<5>,IOB,IO_L0P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AL30,dram_dq<0>,IOB,IO_L0N_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AL31,dram_dq<1>,IOB,IO_L1N_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AL32,,,VCCO_21,,,21,,,,,any******,,,,
AL33,adcmkid1_DQ_n<8>,IOB,IO_L16N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AL34,adcmkid1_DQ_p<8>,IOB,IO_L16P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AM1,,IPAD,MGTRXN0_122,UNUSED,,,,,,,,,,,
AM2,,,GND,,,,,,,,,,,,
AM3,,,MGTAVTTTX_122,,,,,,,,,,,,
AM4,,,MGTAVCCPLL_122,,,,,,,,,,,,
AM5,,,MGTAVTTTX_126,,,,,,,,,,,,
AM6,,,MGTAVTTRX_126,,,,,,,,,,,,
AM7,,IPAD,MGTREFCLKN_126,UNUSED,,,,,,,,,,,
AM8,,,MGTAVCC_126,,,,,,,,,,,,
AM9,,,MGTAVCCPLL_126,,,,,,,,,,,,
AM10,,,MGTAVTTTX_126,,,,,,,,,,,,
AM11,dram_dq<43>,IOB,IO_L6N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AM12,dram_dm<7>,IOB,IO_L6P_22,OUTPUT,SSTL18_II,22,,,,,,LOCATED,YES,NONE,
AM13,dram_dq<32>,IOB,IO_L2N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AM14,,,GND,,,,,,,,,,,,
AM15,dram_dq<31>,IOB,IO_L16P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AM16,dram_dq<69>,IOB,IO_L16N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AM17,dram_dq<25>,IOB,IO_L19P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AM18,dram_reset_n,IOB,IO_L17N_25,OUTPUT,SSTL18_II,25,,,,,,LOCATED,NO,NONE,
AM19,,,VCCO_2,,,2,,,,,3.30,,,,
AM20,dram_odt<1>,IOB,IO_L13N_25,OUTPUT,SSTL18_II,25,,,,,,LOCATED,NO,NONE,
AM21,dram_cs_n<0>,IOB,IO_L13P_25,OUTPUT,SSTL18_II,25,,,,,,LOCATED,YES,NONE,
AM22,dram_dq<10>,IOB,IO_L16N_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AM23,,IOBS,IO_L14N_VREF_25,VREF Required,,25,,,,,0.90,,,,
AM24,,,GND,,,,,,,,,,,,
AM25,dram_dqs_n<1>,IOB,IO_L8N_CC_25,BIDIR,DIFF_SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AM26,dram_dqs<0>,IOB,IO_L9P_CC_25,BIDIR,DIFF_SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AM27,dram_dq<7>,IOB,IO_L4P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AM28,dram_dq<8>,IOB,IO_L7N_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AM29,,,VCCO_21,,,21,,,,,any******,,,,
AM30,dram_dm<0>,IOB,IO_L2N_25,OUTPUT,SSTL18_II,25,,,,,,LOCATED,YES,NONE,
AM31,dram_dq<4>,IOB,IO_L1P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AM32,adcmkid1_DQ_n<4>,IOB,IO_L17N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AM33,adcmkid1_DQ_p<4>,IOB,IO_L17P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AM34,,,GND,,,,,,,,,,,,
AN1,,,GND,,,,,,,,,,,,
AN2,,,GND,,,,,,,,,,,,
AN3,,OPAD,MGTTXN1_122,UNUSED,,,,,,,,,,,
AN4,,OPAD,MGTTXP1_122,UNUSED,,,,,,,,,,,
AN5,,OPAD,MGTTXP0_126,UNUSED,,,,,,,,,,,
AN6,,OPAD,MGTTXN0_126,UNUSED,,,,,,,,,,,
AN7,,,GND,,,,,,,,,,,,
AN8,,,GND,,,,,,,,,,,,
AN9,,OPAD,MGTTXN1_126,UNUSED,,,,,,,,,,,
AN10,,OPAD,MGTTXP1_126,UNUSED,,,,,,,,,,,
AN11,,,GND,,,,,,,,,,,,
AN12,,IOBS,IO_L4N_VREF_22,VREF Required,,22,,,,,0.90,,,,
AN13,dram_dq<46>,IOB,IO_L2P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AN14,dram_dq<36>,IOB,IO_L0P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AN15,dram_dq<70>,IOB,IO_L18P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AN16,,,VCCO_6,,,6,,,,,1.80,,,,
AN17,dram_dm<8>,IOB,IO_L19N_6,OUTPUT,SSTL18_II,6,,,,,,LOCATED,YES,NONE,
AN18,,IOBM,IO_L17P_25,UNUSED,,25,,,,,,,,,
AN19,dram_cs_n<1>,IOB,IO_L19P_25,OUTPUT,SSTL18_II,25,,,,,,LOCATED,NO,NONE,
AN20,dram_odt<0>,IOB,IO_L15P_25,OUTPUT,SSTL18_II,25,,,,,,LOCATED,YES,NONE,
AN21,,,GND,,,,,,,,,,,,
AN22,dram_dq<11>,IOB,IO_L16P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AN23,dram_dq<15>,IOB,IO_L14P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AN24,,IOBM,IO_L12P_VRN_25,UNUSED,,25,,,TERMINATION,,,,,,
AN25,dram_dqs<1>,IOB,IO_L8P_CC_25,BIDIR,DIFF_SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AN26,,,VCCO_25,,,25,,,,,1.80,,,,
AN27,dram_dm<1>,IOB,IO_L6N_25,OUTPUT,SSTL18_II,25,,,,,,LOCATED,YES,NONE,
AN28,dram_dq<13>,IOB,IO_L7P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AN29,dram_dq<6>,IOB,IO_L5N_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AN30,dram_dq<3>,IOB,IO_L2P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AN31,,,GND,,,,,,,,,,,,
AN32,adcmkid1_DQ_p<6>,IOB,IO_L19P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AN33,adcmkid1_DQ_n<11>,IOB,IO_L18N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AN34,adcmkid1_DQ_p<11>,IOB,IO_L18P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AP2,,IPAD,MGTRXN1_122,UNUSED,,,,,,,,,,,
AP3,,IPAD,MGTRXP1_122,UNUSED,,,,,,,,,,,
AP6,,IPAD,MGTRXP0_126,UNUSED,,,,,,,,,,,
AP7,,IPAD,MGTRXN0_126,UNUSED,,,,,,,,,,,
AP8,,IPAD,MGTRXN1_126,UNUSED,,,,,,,,,,,
AP9,,IPAD,MGTRXP1_126,UNUSED,,,,,,,,,,,
AP11,,,GND,,,,,,,,,,,,
AP12,dram_dq<42>,IOB,IO_L4P_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AP13,,,GND,,,,,,,,,,,,
AP14,dram_dq<38>,IOB,IO_L0N_22,BIDIR,SSTL18_II_DCI,22,,,,NONE,,LOCATED,YES,SPLIT,
AP15,dram_dq<67>,IOB,IO_L18N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AP16,dram_dq<64>,IOB,IO_L17P_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AP17,dram_dq<29>,IOB,IO_L17N_6,BIDIR,SSTL18_II_DCI,6,,,,NONE,,LOCATED,YES,SPLIT,
AP18,,,GND,,,,,,,,,,,,
AP19,,IOBS,IO_L19N_25,UNUSED,,25,,,,,,,,,
AP20,,IOBS,IO_L15N_25,UNUSED,,25,,,,,,,,,
AP21,,IOBS,IO_L18N_25,UNUSED,,25,,,,,,,,,
AP22,,IOBM,IO_L18P_25,UNUSED,,25,,,,,,,,,
AP23,,,GND,,,,,,,,,,,,
AP24,,IOBS,IO_L12N_VRP_25,UNUSED,,25,,,TERMINATION,,,,,,
AP25,,IOBS,IO_L10N_CC_25,UNUSED,,25,,,,,,,,,
AP26,,IOBM,IO_L10P_CC_25,UNUSED,,25,,,,,,,,,
AP27,dram_dq<14>,IOB,IO_L6P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AP28,,,GND,,,,,,,,,,,,
AP29,dram_dq<12>,IOB,IO_L5P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AP30,dram_dq<9>,IOB,IO_L3P_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AP31,dram_dq<2>,IOB,IO_L3N_25,BIDIR,SSTL18_II_DCI,25,,,,NONE,,LOCATED,YES,SPLIT,
AP32,adcmkid1_DQ_n<6>,IOB,IO_L19N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AP33,,,GND,,,,,,,,,,,,
B1,,,GND,,,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,
B3,,OPAD,MGTTXN0_120,UNUSED,,,,,,,,,,,
B4,,OPAD,MGTTXP0_120,UNUSED,,,,,,,,,,,
B5,,OPAD,MGTTXP1_124,UNUSED,,,,,,,,,,,
B6,,OPAD,MGTTXN1_124,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,,GND,,,,,,,,,,,,
B9,,OPAD,MGTTXN0_124,UNUSED,,,,,,,,,,,
B10,,OPAD,MGTTXP0_124,UNUSED,,,,,,,,,,,
B11,,,GND,,,,,,,,,,,,
B12,,IOBS,IO_L8N_CC_20,UNUSED,,20,,,,,,,,,
B13,,IOBM,IO_L11P_CC_20,UNUSED,,20,,,,,,,,,
B14,,,GND,,,,,,,,,,,,
B15,,IOBS,IO_L0N_5,UNUSED,,5,,,,,,,,,
B16,,IOBM,IO_L0P_5,UNUSED,,5,,,,,,,,,
B17,,IOBM,IO_L2P_5,UNUSED,,5,,,,,,,,,
B18,,IOBM,IO_L4P_23,UNUSED,,23,,,,,,,,,
B19,,,VCCO_5,,,5,,,,,any******,,,,
B20,,IOBS,IO_L0N_23,UNUSED,,23,,,,,,,,,
B21,,IOBM,IO_L1P_23,UNUSED,,23,,,,,,,,,
B22,,IOBS,IO_L3N_23,UNUSED,,23,,,,,,,,,
B23,,IOBS,IO_L5N_23,UNUSED,,23,,,,,,,,,
B24,,,GND,,,,,,,,,,,,
B25,,IOBM,IO_L11P_CC_23,UNUSED,,23,,,,,,,,,
B26,,IOBM,IO_L9P_CC_23,UNUSED,,23,,,,,,,,,
B27,,IOBM,IO_L10P_CC_23,UNUSED,,23,,,,,,,,,
B28,,IOBS,IO_L12N_VRP_23,UNUSED,,23,,,,,,,,,
B29,,,GND,,,,,,,,,,,,
B30,,IOBS,IO_L19N_23,UNUSED,,23,,,,,,,,,
B31,,IOBM,IO_L16P_23,UNUSED,,23,,,,,,,,,
B32,dac0_smpl_clk_i_p,IOBM,IO_L0P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,NO,NONE,
B33,dac0_sync_i_p,IOBM,IO_L1P_11,OUTPUT,LVDS_25,11,,,,,,LOCATED,YES,NONE,
