0	0	40	2	1
2	0	41	13	1
3	0	43	13	1
4	0	41	9	1
5	0	38	15	1
6	0	38	9	1
8	0	45	15	1
9	0	46	4	1
10	0	42	2	1
11	0	43	17	1
19	0	40	6	1
20	0	40	9	1
21	0	41	22	1
22	0	42	4	1
23	0	38	13	1
25	0	37	3	1
26	0	43	23	1
27	0	40	18	1
28	0	37	1	1
29	0	44	9	1
30	0	44	1	1
31	0	38	23	1
32	0	42	8	1
33	0	37	7	1
34	0	42	6	1
35	0	40	16	1
36	0	38	21	1
37	0	44	7	1
42	0	46	13	1
43	0	40	22	1
44	0	44	17	1
46	0	42	14	1
47	0	37	11	1
48	0	47	3	1
51	0	41	1	1
52	0	37	9	1
53	0	46	15	1
54	0	44	11	1
55	0	42	16	1
56	0	44	19	1
57	0	43	18	1
58	0	39	12	1
61	0	40	20	1
64	0	44	23	1
66	0	42	24	1
67	0	43	0	1
74	0	38	2	1
75	0	37	15	1
76	0	45	1	1
77	0	43	7	1
78	0	41	3	1
79	0	41	5	1
81	0	39	24	1
82	0	45	6	1
83	0	37	23	1
84	0	39	16	1
86	0	46	12	1
88	0	37	17	1
89	0	43	14	1
90	0	44	18	1
91	0	43	6	1
92	0	38	8	1
93	0	43	12	1
94	0	41	19	1
95	0	45	4	1
97	0	41	15	1
100	0	44	16	1
102	0	46	8	1
103	0	37	4	1
104	0	40	3	1
105	0	41	21	1
106	0	35	20	1
107	0	43	24	1
108	0	47	15	1
109	0	37	2	1
111	0	40	23	1
112	0	35	8	1
113	0	39	6	1
114	0	36	6	1
118	0	46	2	1
119	0	38	24	1
120	0	34	5	1
122	0	37	20	1
123	0	41	7	1
124	0	38	17	1
125	0	35	16	1
127	0	47	19	1
128	0	36	14	1
129	0	47	1	1
130	0	44	20	1
131	0	38	12	1
132	0	42	3	1
133	0	34	0	1
134	0	44	14	1
135	0	34	19	1
136	0	44	4	1
137	0	39	2	1
138	0	42	21	1
139	0	39	7	1
140	0	45	18	1
142	0	45	8	1
143	0	45	22	1
144	0	44	10	1
145	0	38	0	1
146	0	45	0	1
147	0	44	24	1
149	0	42	7	1
151	0	46	1	1
152	0	39	21	1
153	0	36	8	1
154	0	43	2	1
155	0	37	6	1
156	0	41	23	1
157	0	40	19	1
158	0	34	11	1
159	0	39	9	1
160	0	37	10	1
161	0	35	4	1
162	0	40	11	1
163	0	39	10	1
164	0	42	11	1
165	0	40	12	1
170	0	37	14	1
172	0	36	12	1
174	0	47	9	1
175	0	45	12	1
176	0	38	16	1
177	0	48	3	1
181	0	39	5	1
